YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre
2018,Silverton,558452000,558452000,542563600,542563600,524565500,455084800,532795000,514082800,519864400,82756400,17954000,22667600,11217800,1621300,1056261,890300,617570,181522.5133689839,289355.434782609,381133,677425,307788.5179419304,306900,263337.3281746749,265886.6420459002,263142.2439741486,263142.2439741486,257755,238289,229718,201165,201459,202028,202028,207238,194741,166628,145013,91900,91900,141213.5231255374,125926,151318,119327,103561,132239,116936,67951.14235190097,10618,Medium,1,0,1
2018,Sweet Home,313711700,313711700,309261100,309261100,299176500,238109500,302322800,281160000,281946500,66443700,20428200,24269400,7619600,1415000,521577,332600,291631,287721.126760563,0,174744,290916,136846.26428400847,136764,117334.64088804853,112753.5785195349,119069.65726525708,119069.65726525708,106907,103202,101297,87604,89561,90142,90142,89248,117391,68776,91079,57148,57148,77597.807998115,55224,116622,63257,52883,106569,47083,45072.74786845311,9977,None,0,0,1
2018,Tualatin,3476482700,3476482700,3432264700,3432264700,3140194300,2773698900,3160599300,3005419700,3009603400,622152300,171250500,195226700,73383700,13382500,6388416,6647800,4032417,1344611.819686454,1512991.0730657636,2537674,3684764,2004755.4080606,2086345,1790355.7137860924,1810110.9134671064,1796907.8184473312,1796907.8184473312,1767877,1672283,1748308,1507965,1471623,1492363,1492363,1486949,1263362,1208548,1083122,902687,902687,1177079.173074095,953222,1025409,927645,888035,926635,740784,93786.952000915,27837,Large/Metro,1,0,1
2018,West Linn,3228442800,3228442800,3177787700,3177787700,2942270700,2676029200,2994105700,2832790200,2887264900,467964500,100529500,127433100,44612900,9471500,5427081,5249500,3239870,1084185.5225546304,530439.4590501273,1981176,2675353,1565142.571980887,1610172,1392977.9821895591,1385452.8771686333,1375214.912954356,1375214.912954356,1320530,1313854,1318400,1108744,1115437,1104847,1104847,1105419,1040091,883516,880642,571017,571017,789386.7546234449,663130,773463,748917,556574,674586,562594,93542.46958818071,26736,Large/Metro,1,0,1
2019,Ashland,1318697700,1318697700,1297745800,1297745800,1204918100,905365100,1231684100,1141656100,1169838200,363273400,62223900,67528200,17231100,6876900,3633748,4085800,2013320,387767.6830008627,200843.9087809037,1044835,1988128,991510.0485062702,849944,763869.7058530612,770630.2120430485,765983.3870746841,765983.3870746841,675458,743714,708988,545183,544011,540325,540325,539056,577143,409745,343586,254926,254926,453512.9898417553,313289,315530,338692,326021,190289,106730,57680.00599397762,21281,Medium,1,0,1
2019,Baker City,310877700,310877700,296082900,296082900,287040600,211107400,292783300,279886800,287604800,81321800,7575400,10546600,3836300,1128000,1067785,604000,617167,171754.3242202541,54275.9225650332,373442,577471,312428.0440140661,281304,255593.9339874357,253097.6020070834,251013.46735105052,251013.46735105052,218140,226137,212162,183552,184568,181033,181033,181861,192642,149753,158549,117753,117753,155588.48006863898,116224,198695,137328,116513,135420,145435,45493.29096423156,9809,None,0,0,1
2019,Cottage Grove,404559900,404559900,396500800,396500800,359247100,288266300,376148800,345399000,360247600,100089000,17466400,19810300,19595800,1706800,897157,885500,549245,240543.4035598632,232256.5324074074,345508,568157,279799.439684639,285888,234471.8718624924,233866.04166610588,237782.31477059072,237782.31477059072,234182,224161,234879,187180,189778,190795,190795,190707,185775,150675,149410,123853,123853,156200.0726231889,118311,133349,115750,123442,145090,132258,47972.093083504034,10465,Medium,1,0,1
2019,Eagle Point,396898800,396898800,395306200,395306200,386934700,303658400,386371500,362659200,367267500,76578500,29017900,22085000,7951300,1158100,358574,268700,206664,99717.8694158076,0,123567,213990,94362.4611559975,102257,90363.0780009341,88996.1226993865,89153.4055029319,89153.4055029319,85793,83073,84008,70451,76162,72361,72361,73180,54134,57676,52494,48304,48304,62975.7401315789,44500,50899,48024,36885,52500,38424,72361,9554,None,0,0,1
2019,Forest Grove,1101102300,1101102300,1051634500,1051634500,890026200,815713400,915565400,780513100,796682700,210032000,197435100,226467600,50296900,5150700,1787555,2111700,1193644,564582.5061563712,507964.737557956,801547,1251296,620976.5031058855,657322,553779.3328175424,549915.0666303127,558256.7213136978,558256.7213136978,551185,530977,586409,468098,461380,474069,474069,474603,356139,392728,317799,306942,306942,363489.7167813047,316311,319161,260843,297649,384465,261580,68032.50259631076,25553,Large/Metro,1,0,1
2019,Klamath Falls,1051690700,1051690700,1032535800,1032535800,934997700,723838000,948828400,870008200,882731200,281798900,82272700,96030400,28021000,6286400,2300731,1721200,1464921,424893.8507208763,331362.81429976784,953333,1528484,732783.812422851,767647,640763.2811284994,649425.0456537262,636094.5080880669,636094.5080880669,620265,595157,655907,521326,512350,514875,514875,512217,483585,393291,401277,341725,341725,444566.1485842891,308980,374117,333053,321492,380900,386961,49016.688593119354,21753,Medium,1,0,1
